"","ID","natural_growth_1000","density","dependency_ratio","migration_intern","migration","p_employment","primary_sector","secondary_sector","tertiary_sector","p_social_assistance","p_new_buildings","p_new_housings","p_cinema","p_museum","p_culture_institution","size_households","p_new_entreprise","p_weddings","p_strangers","p_cultural_place","p_individual_houses","Population","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","lat","long","zab_2022","net_income_h"
"635",1890.13763016563,5641914.34034421,57721.1166612184,36250.7070691765,225676.573615686,564191.434034421,6232453.92522308,57525628.1960344,11539831.900562,21491316.1518893,2242430.67069393,1401515.78875335,295055.955521285,Inf,Inf,436751194.298325,1198876.42442278,516160502.352566,564191.434034421,251228.563091379,436751194.298325,55879.162585192,1242.11570176927,70518712.8123911,6289895.38336821,6721554.87046211,18282629.2476569,571.474794573425,5310015.68429521,5481501.73454594,43132.0995676905,74.293427304022
"636",1892.94368325517,Inf,27876.9861102705,38840.7974826189,-1247870.63699723,-1143881.41726087,4764547.15448471,1865778.96565629,183829.923482641,325212.146754106,3439980.89500544,1250895.04474991,491423.053302858,Inf,13693308521.989,326031155.285453,1128969.48120038,526665712.384194,762587.611518173,211316.489536682,326031155.285453,67973.9191243895,517.294231031441,68298615.9701966,6357583.93339596,6276896.87253448,22622569.9585825,493.872484441782,5143476.30201342,5221147.92713362,18366.4261863002,69.4493427598521
"637",1887.967884982,13927352.1791735,18471.3020947241,38920.6593616694,1114188.17428714,928490.145245778,4021466.19729013,4693927.97276573,767780.040154989,267789.731995711,2893776.21483471,1207840.25977047,301960.064942617,Inf,13964541370.09,253900752.183454,1178216.58578717,416851981.196715,592653.284193703,171134.085417616,253900752.183454,61540.1588822905,252.650828815833,41497279.9623813,5101320.46818872,7003507.76141164,73010251.963889,363.338915903388,5288628.04949846,4912028.06181009,9304.60196213412,41.9772439687678
"638",1784.59176892945,1423331.63085519,17359.1132937499,40803.2407405738,332110.713862093,1107035.71288737,11300554.161669,14021175.0332757,7121866.68356859,2346026.67223436,2107033.93782987,1980610.25800722,366779.677419792,Inf,Inf,400943661.656015,1186817.72724304,715970824.38574,553517.856443684,209260.78374453,400943661.656015,82046.7387686243,715.839723453531,43890406.7197334,7209522.96839128,5547207.68105939,31686732.6561978,1104.60711140747,4711810.76850177,4706614.81887897,31351.5009967593,60.9675167293064
"639",1780.89611983515,1574925.19398161,5014.50470187131,41940.0433694955,1012451.91040824,3543581.68656295,10396324.3812697,15057875.8595779,3528714.34285058,1355092.00908537,2827386.95021764,1767109.75775852,344801.90395066,Inf,Inf,592157309.549817,1183916.23969765,710588771.459781,524975.064650234,178989.614977766,592157309.549817,96936.763429614,503.464327497158,14479382.3266545,7952854.77046098,5779189.47528076,190300453.436031,2685.64856625743,4799603.76854499,4630993.3483305,24343.8839824572,70.7793053583837
"640",1776.82023316698,614228.986397351,22370.282113517,43696.6226760087,-982766.378262886,350987.992229364,7060366.77784198,5692511.20122231,2269042.92636134,1498721.1938553,4077067.58640953,Inf,Inf,Inf,Inf,548355153.079061,1126140.10080572,1233799094.42789,982766.378262886,280408.885097527,548355153.079061,58136.8999476301,1445.1086636634,51037384.3774883,7006827.34673992,5004876.6762428,75164147.9013919,1725.16848220282,4905371.99289443,4839589.63097764,60406.2612632882,81.450713120842
"641",1783.81001179363,799757.661840036,43385.2228571222,47262.3979095821,48178.1723994658,399878.830914058,14660539.8835946,670105126.640199,455327842.460648,135555617.221109,3219433.18701789,297177.259317897,36446.2676522901,Inf,Inf,516784030.896708,1332646.16857919,826854449.434733,571255.472733152,150885.848436588,516784030.896708,56320.1285723551,1740.98005044621,95509469.1754591,5525341.19196871,7545894.85584891,19780067.5807164,1076.58517565715,4618374.88422248,4714226.98750915,41998.2820560052,64.1138918720048
"642",1777.59141989769,-6450757.05378724,5124.03695239191,37628.4982555623,208088.937205995,460768.360960995,7240204.99058917,7508030.08271947,1813628.04595561,432083.41441393,3278242.16911051,1278513.96404795,304408.086679468,650894428.653966,Inf,650894428.653966,1234136.57290971,765758151.357607,537563.087783199,161712.901528915,650894428.653966,90170.6264363872,549.789372574192,15583477.3814605,7991526.86228746,5432148.9782869,277039597.892632,2870.46683148714,4790844.1529393,4522797.52070783,25853.064234113,50.3289538522389
"643",1771.11099932945,282796.58246835,16649.8734833262,44560.2294150966,228412.624302198,593872.823181646,10294655.468986,14532148.9678774,6954328.71400073,6753723.07801994,3450216.23245997,837911.095690074,122195.368121069,Inf,Inf,1002013132.31463,1115153.00632688,668008754.876423,494894.019323547,291848.485139286,1002013132.31463,62323.581757565,1183.35987799031,32920013.01001,6122155.76368865,5686184.06536537,170585521.960961,1895.73074981532,4988274.35986659,4715128.91127279,56630.4281314257,74.4486542963361
"644",1767.76813572056,-15503302.6845654,6497.62580617289,44291.5590886434,430647.296814368,287098.197877793,4232842.23351019,1741863.53342404,206325.521043394,35039.4211752612,2522537.45469694,3077483.50593268,1538741.75287746,Inf,15619187841.6526,347093063.147835,1268825.67919777,229693938.847832,861294.59364266,123471.840645585,347093063.147835,83957.2013257405,454.379427005098,24420243.6548665,5763325.28011977,9406316.07446708,18859198.0700949,1862.9556507209,5074212.61346155,4542068.46161751,21389.2138139774,23.2585682366532
