ID,commune,no_mut_nvlle_cmne,date_entree_ch,no_mut_ancienne_cmne,new_no_commune,new_commune
329,Langenthal,2773,2010-01-01,3949,329,Langenthal
540,Jegenstorf,2774,2010-01-01,3413,540,Jegenstorf
619,Oberdiessbach,2775,2010-01-01,3414,619,Oberdiessbach
756,Twann-Tüscherz,2776,2010-01-01,NA,756,Twann-Tüscherz
301,Aarberg,2844,2010-01-01,NA,301,Aarberg
302,Bargen (BE),2845,2010-01-01,NA,302,Bargen (BE)
303,Grossaffoltern,2846,2010-01-01,NA,303,Grossaffoltern
304,Kallnach,2847,2010-01-01,3294,304,Kallnach
305,Kappelen,2848,2010-01-01,NA,305,Kappelen
306,Lyss,2849,2010-01-01,3176,306,Lyss
307,Meikirch,2981,2010-01-01,NA,307,Meikirch
308,Niederried bei Kallnach,2850,2010-01-01,3294,304,Kallnach
309,Radelfingen,2851,2010-01-01,NA,309,Radelfingen
310,Rapperswil (BE),2852,2010-01-01,3295,310,Rapperswil (BE)
311,Schüpfen,2853,2010-01-01,NA,311,Schüpfen
312,Seedorf (BE),2854,2010-01-01,NA,312,Seedorf (BE)
321,Aarwangen,2890,2010-01-01,NA,321,Aarwangen
322,Auswil,2891,2010-01-01,NA,322,Auswil
323,Bannwil,2892,2010-01-01,NA,323,Bannwil
324,Bleienbach,2893,2010-01-01,NA,324,Bleienbach
325,Busswil bei Melchnau,2894,2010-01-01,NA,325,Busswil bei Melchnau
326,Gondiswil,2895,2010-01-01,NA,326,Gondiswil
328,Kleindietwil,2896,2010-01-01,3177,332,Madiswil
330,Leimiswil,2897,2010-01-01,3177,332,Madiswil
331,Lotzwil,2898,2010-01-01,NA,331,Lotzwil
332,Madiswil,2899,2010-01-01,3177,332,Madiswil
333,Melchnau,2900,2010-01-01,NA,333,Melchnau
334,Obersteckholz,2901,2010-01-01,3949,329,Langenthal
335,Oeschenbach,2902,2010-01-01,NA,335,Oeschenbach
336,Reisiswil,2903,2010-01-01,NA,336,Reisiswil
337,Roggwil (BE),2904,2010-01-01,NA,337,Roggwil (BE)
338,Rohrbach,2905,2010-01-01,NA,338,Rohrbach
339,Rohrbachgraben,2906,2010-01-01,NA,339,Rohrbachgraben
340,Rütschelen,2907,2010-01-01,NA,340,Rütschelen
341,Schwarzhäusern,2908,2010-01-01,NA,341,Schwarzhäusern
342,Thunstetten,2909,2010-01-01,NA,342,Thunstetten
344,Ursenbach,2910,2010-01-01,NA,344,Ursenbach
345,Wynau,2911,2010-01-01,NA,345,Wynau
351,Bern,2982,2010-01-01,NA,351,Bern
352,Bolligen,2983,2010-01-01,NA,352,Bolligen
353,Bremgarten bei Bern,2984,2010-01-01,NA,353,Bremgarten bei Bern
354,Kirchlindach,2985,2010-01-01,NA,354,Kirchlindach
355,Köniz,2986,2010-01-01,NA,355,Köniz
356,Muri bei Bern,2987,2010-01-01,NA,356,Muri bei Bern
357,Oberbalm,2988,2010-01-01,NA,357,Oberbalm
358,Stettlen,2989,2010-01-01,NA,358,Stettlen
359,Vechigen,2990,2010-01-01,NA,359,Vechigen
360,Wohlen bei Bern,2991,2010-01-01,NA,360,Wohlen bei Bern
361,Zollikofen,2992,2010-01-01,NA,361,Zollikofen
362,Ittigen,2993,2010-01-01,NA,362,Ittigen
363,Ostermundigen,2994,2010-01-01,NA,363,Ostermundigen
371,Biel/Bienne,2826,2010-01-01,NA,371,Biel/Bienne
372,Evilard,2827,2010-01-01,NA,372,Evilard
381,Arch,2855,2010-01-01,NA,381,Arch
382,Büetigen,2856,2010-01-01,NA,382,Büetigen
383,Büren an der Aare,2857,2010-01-01,NA,383,Büren an der Aare
384,Busswil bei Büren,2858,2010-01-01,3176,306,Lyss
385,Diessbach bei Büren,2859,2010-01-01,NA,385,Diessbach bei Büren
386,Dotzigen,2860,2010-01-01,NA,386,Dotzigen
387,Lengnau (BE),2828,2010-01-01,NA,387,Lengnau (BE)
388,Leuzigen,2861,2010-01-01,NA,388,Leuzigen
389,Meienried,2862,2010-01-01,NA,389,Meienried
390,Meinisberg,2829,2010-01-01,NA,390,Meinisberg
391,Oberwil bei Büren,2863,2010-01-01,NA,391,Oberwil bei Büren
392,Pieterlen,2830,2010-01-01,NA,392,Pieterlen
393,Rüti bei Büren,2864,2010-01-01,NA,393,Rüti bei Büren
394,Wengi,2865,2010-01-01,NA,394,Wengi
401,Aefligen,2939,2010-01-01,NA,401,Aefligen
402,Alchenstorf,2940,2010-01-01,NA,402,Alchenstorf
403,Bäriswil,2995,2010-01-01,NA,403,Bäriswil
404,Burgdorf,2941,2010-01-01,NA,404,Burgdorf
405,Ersigen,2942,2010-01-01,3441,405,Ersigen
406,Hasle bei Burgdorf,2943,2010-01-01,NA,406,Hasle bei Burgdorf
407,Heimiswil,2944,2010-01-01,NA,407,Heimiswil
408,Hellsau,2945,2010-01-01,NA,408,Hellsau
409,Hindelbank,2946,2010-01-01,3950,409,Hindelbank
410,Höchstetten,2947,2010-01-01,NA,410,Höchstetten
411,Kernenried,2948,2010-01-01,NA,411,Kernenried
412,Kirchberg (BE),2949,2010-01-01,NA,412,Kirchberg (BE)
413,Koppigen,2950,2010-01-01,NA,413,Koppigen
414,Krauchthal,2951,2010-01-01,NA,414,Krauchthal
415,Lyssach,2952,2010-01-01,NA,415,Lyssach
416,Mötschwil,2953,2010-01-01,3950,409,Hindelbank
417,Niederösch,2954,2010-01-01,3441,405,Ersigen
418,Oberburg,2955,2010-01-01,NA,418,Oberburg
419,Oberösch,2956,2010-01-01,3441,405,Ersigen
420,Rüdtligen-Alchenflüh,2957,2010-01-01,NA,420,Rüdtligen-Alchenflüh
421,Rumendingen,2958,2010-01-01,NA,421,Rumendingen
422,Rüti bei Lyssach,2959,2010-01-01,NA,422,Rüti bei Lyssach
423,Willadingen,2960,2010-01-01,NA,423,Willadingen
424,Wynigen,2961,2010-01-01,NA,424,Wynigen
431,Corgémont,2777,2010-01-01,NA,431,Corgémont
432,Cormoret,2778,2010-01-01,NA,432,Cormoret
433,Cortébert,2779,2010-01-01,NA,433,Cortébert
434,Courtelary,2780,2010-01-01,NA,434,Courtelary
435,La Ferrière,2781,2010-01-01,NA,435,La Ferrière
436,La Heutte,2782,2010-01-01,3429,450,Péry-La Heutte
437,Mont-Tramelan,2783,2010-01-01,NA,437,Mont-Tramelan
438,Orvin,2784,2010-01-01,NA,438,Orvin
439,Péry,2785,2010-01-01,3429,450,Péry-La Heutte
440,Plagne,2786,2010-01-01,3411,449,Sauge
441,Renan (BE),2787,2010-01-01,NA,441,Renan (BE)
442,Romont (BE),2788,2010-01-01,NA,442,Romont (BE)
443,Saint-Imier,2789,2010-01-01,NA,443,Saint-Imier
444,Sonceboz-Sombeval,2790,2010-01-01,NA,444,Sonceboz-Sombeval
445,Sonvilier,2791,2010-01-01,NA,445,Sonvilier
446,Tramelan,2792,2010-01-01,NA,446,Tramelan
447,Vauffelin,2793,2010-01-01,3411,449,Sauge
448,Villeret,2794,2010-01-01,NA,448,Villeret
491,Brüttelen,2866,2010-01-01,NA,491,Brüttelen
492,Erlach,2867,2010-01-01,NA,492,Erlach
493,Finsterhennen,2868,2010-01-01,NA,493,Finsterhennen
494,Gals,2869,2010-01-01,NA,494,Gals
495,Gampelen,2870,2010-01-01,NA,495,Gampelen
496,Ins,2871,2010-01-01,NA,496,Ins
497,Lüscherz,2872,2010-01-01,NA,497,Lüscherz
498,Müntschemier,2873,2010-01-01,NA,498,Müntschemier
499,Siselen,2874,2010-01-01,NA,499,Siselen
500,Treiten,2875,2010-01-01,NA,500,Treiten
501,Tschugg,2876,2010-01-01,NA,501,Tschugg
502,Vinelz,2877,2010-01-01,NA,502,Vinelz
532,Bangerten,2878,2010-01-01,3440,310,Rapperswil (BE)
533,Bätterkinden,2962,2010-01-01,NA,533,Bätterkinden
534,Büren zum Hof,2996,2010-01-01,3412,538,Fraubrunnen
535,Deisswil bei Münchenbuchsee,2997,2010-01-01,NA,535,Deisswil bei Münchenbuchsee
536,Diemerswil,2998,2010-01-01,NA,536,Diemerswil
537,Etzelkofen,2999,2010-01-01,3412,538,Fraubrunnen
538,Fraubrunnen,3000,2010-01-01,3412,538,Fraubrunnen
539,Grafenried,3001,2010-01-01,3412,538,Fraubrunnen
541,Iffwil,3002,2010-01-01,NA,541,Iffwil
542,Limpach,3003,2010-01-01,3412,538,Fraubrunnen
543,Mattstetten,3004,2010-01-01,NA,543,Mattstetten
544,Moosseedorf,3005,2010-01-01,NA,544,Moosseedorf
545,Mülchi,3006,2010-01-01,3412,538,Fraubrunnen
546,Münchenbuchsee,3007,2010-01-01,NA,546,Münchenbuchsee
547,Münchringen,3008,2010-01-01,3413,540,Jegenstorf
548,Ruppoldsried,2879,2010-01-01,3295,310,Rapperswil (BE)
549,Schalunen,3009,2010-01-01,3412,538,Fraubrunnen
550,Scheunen,3010,2010-01-01,3413,540,Jegenstorf
551,Urtenen-Schönbühl,3011,2010-01-01,NA,551,Urtenen-Schönbühl
552,Utzenstorf,2963,2010-01-01,NA,552,Utzenstorf
553,Wiggiswil,3012,2010-01-01,NA,553,Wiggiswil
554,Wiler bei Utzenstorf,2964,2010-01-01,NA,554,Wiler bei Utzenstorf
555,Zauggenried,3013,2010-01-01,3412,538,Fraubrunnen
556,Zielebach,2965,2010-01-01,NA,556,Zielebach
557,Zuzwil (BE),3014,2010-01-01,NA,557,Zuzwil (BE)
561,Adelboden,3119,2010-01-01,NA,561,Adelboden
562,Aeschi bei Spiez,3120,2010-01-01,NA,562,Aeschi bei Spiez
563,Frutigen,3121,2010-01-01,NA,563,Frutigen
564,Kandergrund,3122,2010-01-01,NA,564,Kandergrund
565,Kandersteg,3123,2010-01-01,NA,565,Kandersteg
566,Krattigen,3124,2010-01-01,NA,566,Krattigen
567,Reichenbach im Kandertal,3125,2010-01-01,NA,567,Reichenbach im Kandertal
571,Beatenberg,3132,2010-01-01,NA,571,Beatenberg
572,Bönigen,3133,2010-01-01,NA,572,Bönigen
573,Brienz (BE),3134,2010-01-01,NA,573,Brienz (BE)
574,Brienzwiler,3135,2010-01-01,NA,574,Brienzwiler
575,Därligen,3136,2010-01-01,NA,575,Därligen
576,Grindelwald,3137,2010-01-01,NA,576,Grindelwald
577,Gsteigwiler,3138,2010-01-01,NA,577,Gsteigwiler
578,Gündlischwand,3139,2010-01-01,NA,578,Gündlischwand
579,Habkern,3140,2010-01-01,NA,579,Habkern
580,Hofstetten bei Brienz,3141,2010-01-01,NA,580,Hofstetten bei Brienz
581,Interlaken,3142,2010-01-01,NA,581,Interlaken
582,Iseltwald,3143,2010-01-01,NA,582,Iseltwald
584,Lauterbrunnen,3144,2010-01-01,NA,584,Lauterbrunnen
585,Leissigen,3145,2010-01-01,NA,585,Leissigen
586,Lütschental,3146,2010-01-01,NA,586,Lütschental
587,Matten bei Interlaken,3147,2010-01-01,NA,587,Matten bei Interlaken
588,Niederried bei Interlaken,3148,2010-01-01,NA,588,Niederried bei Interlaken
589,Oberried am Brienzersee,3149,2010-01-01,NA,589,Oberried am Brienzersee
590,Ringgenberg (BE),3150,2010-01-01,NA,590,Ringgenberg (BE)
591,Saxeten,3151,2010-01-01,NA,591,Saxeten
592,Schwanden bei Brienz,3152,2010-01-01,NA,592,Schwanden bei Brienz
593,Unterseen,3153,2010-01-01,NA,593,Unterseen
594,Wilderswil,3154,2010-01-01,NA,594,Wilderswil
602,Arni (BE),3015,2010-01-01,NA,602,Arni (BE)
603,Biglen,3016,2010-01-01,NA,603,Biglen
604,Bleiken bei Oberdiessbach,3017,2010-01-01,3414,619,Oberdiessbach
605,Bowil,3018,2010-01-01,NA,605,Bowil
606,Brenzikofen,3019,2010-01-01,NA,606,Brenzikofen
607,Freimettigen,3020,2010-01-01,NA,607,Freimettigen
608,Grosshöchstetten,3021,2010-01-01,3584,608,Grosshöchstetten
609,Häutligen,3022,2010-01-01,NA,609,Häutligen
610,Herbligen,3023,2010-01-01,NA,610,Herbligen
611,Kiesen,3024,2010-01-01,NA,611,Kiesen
612,Konolfingen,3025,2010-01-01,NA,612,Konolfingen
613,Landiswil,3026,2010-01-01,NA,613,Landiswil
614,Linden,3027,2010-01-01,NA,614,Linden
615,Mirchel,3028,2010-01-01,NA,615,Mirchel
616,Münsingen,3029,2010-01-01,3296,616,Münsingen
617,Niederhünigen,3030,2010-01-01,NA,617,Niederhünigen
620,Oberthal,3031,2010-01-01,NA,620,Oberthal
622,Oppligen,3032,2010-01-01,NA,622,Oppligen
623,Rubigen,3033,2010-01-01,NA,623,Rubigen
624,Schlosswil,3034,2010-01-01,3584,608,Grosshöchstetten
625,Tägertschi,3035,2010-01-01,3456,616,Münsingen
626,Walkringen,3036,2010-01-01,NA,626,Walkringen
627,Worb,3037,2010-01-01,NA,627,Worb
628,Zäziwil,3038,2010-01-01,NA,628,Zäziwil
629,Oberhünigen,3039,2010-01-01,NA,629,Oberhünigen
630,Allmendingen,3040,2010-01-01,NA,630,Allmendingen
631,Trimstein,3041,2010-01-01,3296,616,Münsingen
632,Wichtrach,3042,2010-01-01,NA,632,Wichtrach
661,Clavaleyres,3043,2010-01-01,3957,2275,Murten
662,Ferenbalm,3044,2010-01-01,NA,662,Ferenbalm
663,Frauenkappelen,3045,2010-01-01,NA,663,Frauenkappelen
664,Golaten,3046,2010-01-01,3626,304,Kallnach
665,Gurbrü,3047,2010-01-01,NA,665,Gurbrü
666,Kriechenwil,3048,2010-01-01,NA,666,Kriechenwil
667,Laupen,3049,2010-01-01,NA,667,Laupen
668,Mühleberg,3050,2010-01-01,NA,668,Mühleberg
669,Münchenwiler,3051,2010-01-01,NA,669,Münchenwiler
670,Neuenegg,3052,2010-01-01,NA,670,Neuenegg
671,Wileroltigen,3053,2010-01-01,NA,671,Wileroltigen
681,Belprahon,2795,2010-01-01,NA,681,Belprahon
682,Bévilard,2796,2010-01-01,3430,717,Valbirse
683,Champoz,2797,2010-01-01,NA,683,Champoz
684,Châtelat,2798,2010-01-01,3431,716,Petit-Val
687,Corcelles (BE),2799,2010-01-01,NA,687,Corcelles (BE)
690,Court,2800,2010-01-01,NA,690,Court
691,Crémines,2801,2010-01-01,NA,691,Crémines
692,Eschert,2802,2010-01-01,NA,692,Eschert
694,Grandval,2803,2010-01-01,NA,694,Grandval
696,Loveresse,2804,2010-01-01,NA,696,Loveresse
697,Malleray,2805,2010-01-01,3430,717,Valbirse
699,Monible,2806,2010-01-01,3431,716,Petit-Val
700,Moutier,2807,2010-01-01,NA,700,Moutier
701,Perrefitte,2808,2010-01-01,NA,701,Perrefitte
702,Pontenet,2809,2010-01-01,3430,717,Valbirse
703,Reconvilier,2810,2010-01-01,NA,703,Reconvilier
704,Roches (BE),2811,2010-01-01,NA,704,Roches (BE)
706,Saicourt,2812,2010-01-01,NA,706,Saicourt
707,Saules (BE),2813,2010-01-01,NA,707,Saules (BE)
708,Schelten,2814,2010-01-01,NA,708,Schelten
709,Seehof,2815,2010-01-01,NA,709,Seehof
710,Sornetan,2816,2010-01-01,3431,716,Petit-Val
711,Sorvilier,2817,2010-01-01,NA,711,Sorvilier
712,Souboz,2818,2010-01-01,3431,716,Petit-Val
713,Tavannes,2819,2010-01-01,NA,713,Tavannes
715,Rebévelier,2820,2010-01-01,NA,715,Rebévelier
721,Diesse,2821,2010-01-01,3415,726,Plateau de Diesse
722,Lamboing,2822,2010-01-01,3415,726,Plateau de Diesse
723,La Neuveville,2823,2010-01-01,NA,723,La Neuveville
724,Nods,2824,2010-01-01,NA,724,Nods
725,Prêles,2825,2010-01-01,3415,726,Plateau de Diesse
731,Aegerten,2831,2010-01-01,NA,731,Aegerten
732,Bellmund,2832,2010-01-01,NA,732,Bellmund
733,Brügg,2833,2010-01-01,NA,733,Brügg
734,Bühl,2880,2010-01-01,NA,734,Bühl
735,Epsach,2881,2010-01-01,NA,735,Epsach
736,Hagneck,2882,2010-01-01,NA,736,Hagneck
737,Hermrigen,2883,2010-01-01,NA,737,Hermrigen
738,Jens,2884,2010-01-01,NA,738,Jens
739,Ipsach,2834,2010-01-01,NA,739,Ipsach
740,Ligerz,2835,2010-01-01,NA,740,Ligerz
741,Merzligen,2885,2010-01-01,NA,741,Merzligen
742,Mörigen,2836,2010-01-01,NA,742,Mörigen
743,Nidau,2837,2010-01-01,NA,743,Nidau
744,Orpund,2838,2010-01-01,NA,744,Orpund
745,Port,2839,2010-01-01,NA,745,Port
746,Safnern,2840,2010-01-01,NA,746,Safnern
747,Scheuren,2841,2010-01-01,NA,747,Scheuren
748,Schwadernau,2842,2010-01-01,NA,748,Schwadernau
749,Studen (BE),2886,2010-01-01,NA,749,Studen (BE)
750,Sutz-Lattrigen,2843,2010-01-01,NA,750,Sutz-Lattrigen
751,Täuffelen,2887,2010-01-01,NA,751,Täuffelen
754,Walperswil,2888,2010-01-01,NA,754,Walperswil
755,Worben,2889,2010-01-01,NA,755,Worben
761,Därstetten,3126,2010-01-01,NA,761,Därstetten
762,Diemtigen,3127,2010-01-01,NA,762,Diemtigen
763,Erlenbach im Simmental,3128,2010-01-01,NA,763,Erlenbach im Simmental
764,Niederstocken,3077,2010-01-01,3416,770,Stocken-Höfen
765,Oberstocken,3078,2010-01-01,3416,770,Stocken-Höfen
766,Oberwil im Simmental,3129,2010-01-01,NA,766,Oberwil im Simmental
767,Reutigen,3079,2010-01-01,NA,767,Reutigen
768,Spiez,3130,2010-01-01,NA,768,Spiez
769,Wimmis,3131,2010-01-01,NA,769,Wimmis
781,Gadmen,3155,2010-01-01,3417,784,Innertkirchen
782,Guttannen,3156,2010-01-01,NA,782,Guttannen
783,Hasliberg,3157,2010-01-01,NA,783,Hasliberg
784,Innertkirchen,3158,2010-01-01,3417,784,Innertkirchen
785,Meiringen,3159,2010-01-01,NA,785,Meiringen
786,Schattenhalb,3160,2010-01-01,NA,786,Schattenhalb
791,Boltigen,3112,2010-01-01,NA,791,Boltigen
792,Lenk,3113,2010-01-01,NA,792,Lenk
793,St. Stephan,3114,2010-01-01,NA,793,St. Stephan
794,Zweisimmen,3115,2010-01-01,NA,794,Zweisimmen
841,Gsteig,3116,2010-01-01,NA,841,Gsteig
842,Lauenen,3117,2010-01-01,NA,842,Lauenen
843,Saanen,3118,2010-01-01,NA,843,Saanen
851,Albligen,3054,2010-01-01,3178,855,Schwarzenburg
852,Guggisberg,3055,2010-01-01,NA,852,Guggisberg
853,Rüschegg,3056,2010-01-01,NA,853,Rüschegg
854,Wahlern,3057,2010-01-01,3178,855,Schwarzenburg
861,Belp,3058,2010-01-01,3279,861,Belp
862,Belpberg,3059,2010-01-01,3279,861,Belp
863,Burgistein,3080,2010-01-01,NA,863,Burgistein
865,Gelterfingen,3060,2010-01-01,3585,872,Kirchdorf (BE)
866,Gerzensee,3061,2010-01-01,NA,866,Gerzensee
867,Gurzelen,3081,2010-01-01,NA,867,Gurzelen
868,Jaberg,3062,2010-01-01,NA,868,Jaberg
869,Kaufdorf,3063,2010-01-01,NA,869,Kaufdorf
870,Kehrsatz,3064,2010-01-01,NA,870,Kehrsatz
871,Kienersrüti,3082,2010-01-01,3418,885,Uttigen
872,Kirchdorf (BE),3065,2010-01-01,3585,872,Kirchdorf (BE)
873,Kirchenthurnen,3066,2010-01-01,3920,889,Thurnen
874,Lohnstorf,3067,2010-01-01,3920,889,Thurnen
875,Mühledorf (BE),3068,2010-01-01,3585,872,Kirchdorf (BE)
876,Mühlethurnen,3069,2010-01-01,3920,889,Thurnen
877,Niedermuhlern,3070,2010-01-01,NA,877,Niedermuhlern
878,Noflen,3071,2010-01-01,3585,872,Kirchdorf (BE)
879,Riggisberg,3072,2010-01-01,3951,879,Riggisberg
880,Rüeggisberg,3073,2010-01-01,NA,880,Rüeggisberg
881,Rümligen,3074,2010-01-01,3951,879,Riggisberg
883,Seftigen,3083,2010-01-01,NA,883,Seftigen
884,Toffen,3075,2010-01-01,NA,884,Toffen
885,Uttigen,3084,2010-01-01,3418,885,Uttigen
886,Wattenwil,3085,2010-01-01,NA,886,Wattenwil
888,Wald (BE),3076,2010-01-01,NA,888,Wald (BE)
901,Eggiwil,2966,2010-01-01,NA,901,Eggiwil
902,Langnau im Emmental,2967,2010-01-01,NA,902,Langnau im Emmental
903,Lauperswil,2968,2010-01-01,NA,903,Lauperswil
904,Röthenbach im Emmental,2969,2010-01-01,NA,904,Röthenbach im Emmental
905,Rüderswil,2970,2010-01-01,NA,905,Rüderswil
906,Schangnau,2971,2010-01-01,NA,906,Schangnau
907,Signau,2972,2010-01-01,NA,907,Signau
908,Trub,2973,2010-01-01,NA,908,Trub
909,Trubschachen,2974,2010-01-01,NA,909,Trubschachen
921,Amsoldingen,3086,2010-01-01,NA,921,Amsoldingen
922,Blumenstein,3087,2010-01-01,NA,922,Blumenstein
923,Buchholterberg,3088,2010-01-01,NA,923,Buchholterberg
924,Eriz,3089,2010-01-01,NA,924,Eriz
925,Fahrni,3090,2010-01-01,NA,925,Fahrni
927,Heiligenschwendi,3091,2010-01-01,NA,927,Heiligenschwendi
928,Heimberg,3092,2010-01-01,NA,928,Heimberg
929,Hilterfingen,3093,2010-01-01,NA,929,Hilterfingen
930,Höfen,3094,2010-01-01,3416,770,Stocken-Höfen
931,Homberg,3095,2010-01-01,NA,931,Homberg
932,Horrenbach-Buchen,3096,2010-01-01,NA,932,Horrenbach-Buchen
934,Oberhofen am Thunersee,3097,2010-01-01,NA,934,Oberhofen am Thunersee
935,Oberlangenegg,3098,2010-01-01,NA,935,Oberlangenegg
936,Pohlern,3099,2010-01-01,NA,936,Pohlern
937,Schwendibach,3100,2010-01-01,3921,939,Steffisburg
938,Sigriswil,3101,2010-01-01,NA,938,Sigriswil
939,Steffisburg,3102,2010-01-01,3921,939,Steffisburg
940,Teuffenthal (BE),3103,2010-01-01,NA,940,Teuffenthal (BE)
941,Thierachern,3104,2010-01-01,NA,941,Thierachern
942,Thun,3105,2010-01-01,NA,942,Thun
943,Uebeschi,3106,2010-01-01,NA,943,Uebeschi
944,Uetendorf,3107,2010-01-01,NA,944,Uetendorf
945,Unterlangenegg,3108,2010-01-01,NA,945,Unterlangenegg
946,Wachseldorn,3109,2010-01-01,NA,946,Wachseldorn
947,Zwieselberg,3110,2010-01-01,NA,947,Zwieselberg
948,Forst-Längenbühl,3111,2010-01-01,NA,948,Forst-Längenbühl
951,Affoltern im Emmental,2975,2010-01-01,NA,951,Affoltern im Emmental
952,Dürrenroth,2976,2010-01-01,NA,952,Dürrenroth
953,Eriswil,2912,2010-01-01,NA,953,Eriswil
954,Huttwil,2913,2010-01-01,NA,954,Huttwil
955,Lützelflüh,2977,2010-01-01,NA,955,Lützelflüh
956,Rüegsau,2978,2010-01-01,NA,956,Rüegsau
957,Sumiswald,2979,2010-01-01,NA,957,Sumiswald
958,Trachselwald,2980,2010-01-01,NA,958,Trachselwald
959,Walterswil (BE),2914,2010-01-01,NA,959,Walterswil (BE)
960,Wyssachen,2915,2010-01-01,NA,960,Wyssachen
971,Attiswil,2916,2010-01-01,NA,971,Attiswil
972,Berken,2917,2010-01-01,NA,972,Berken
973,Bettenhausen,2918,2010-01-01,3179,973,Bettenhausen
974,Bollodingen,2919,2010-01-01,3179,973,Bettenhausen
975,Farnern,2920,2010-01-01,NA,975,Farnern
976,Graben,2921,2010-01-01,NA,976,Graben
977,Heimenhausen,2922,2010-01-01,NA,977,Heimenhausen
978,Hermiswil,2923,2010-01-01,3442,988,Seeberg
979,Herzogenbuchsee,2924,2010-01-01,NA,979,Herzogenbuchsee
980,Inkwil,2925,2010-01-01,NA,980,Inkwil
981,Niederbipp,2926,2010-01-01,3922,981,Niederbipp
982,Niederönz,2927,2010-01-01,NA,982,Niederönz
983,Oberbipp,2928,2010-01-01,NA,983,Oberbipp
985,Ochlenberg,2929,2010-01-01,NA,985,Ochlenberg
987,Rumisberg,2930,2010-01-01,NA,987,Rumisberg
988,Seeberg,2931,2010-01-01,3442,988,Seeberg
989,Thörigen,2932,2010-01-01,NA,989,Thörigen
990,Walliswil bei Niederbipp,2933,2010-01-01,NA,990,Walliswil bei Niederbipp
991,Walliswil bei Wangen,2934,2010-01-01,NA,991,Walliswil bei Wangen
992,Wangen an der Aare,2935,2010-01-01,NA,992,Wangen an der Aare
993,Wangenried,2936,2010-01-01,NA,993,Wangenried
995,Wiedlisbach,2937,2010-01-01,NA,995,Wiedlisbach
996,Wolfisberg,2938,2010-01-01,3922,981,Niederbipp
1061,Luzern,3161,2010-01-01,3301,1061,Luzern
2457,Messen,3162,2010-01-01,NA,2457,Messen
3359,Wildhaus-Alt St. Johann,3163,2010-01-01,NA,3359,Wildhaus-Alt St. Johann
3661,Cazis,3164,2010-01-01,3555,3661,Cazis
3792,Bregaglia,3165,2010-01-01,3504,3792,Bregaglia
3911,Churwalden,3166,2010-01-01,3517,3911,Churwalden
4001,Aarau,3167,2010-01-01,NA,4001,Aarau
4080,Villmergen,3168,2010-01-01,NA,4080,Villmergen
4095,Brugg,3169,2010-01-01,3927,4095,Brugg
4184,Mettauertal,3170,2010-01-01,NA,4184,Mettauertal
4169,Kaisten,3171,2010-01-01,NA,4169,Kaisten
4170,Laufenburg,3172,2010-01-01,NA,4170,Laufenburg
5398,Gambarogno,3173,2010-04-25,NA,5398,Gambarogno
5238,Monteceneri,3174,2010-11-21,NA,5238,Monteceneri
4696,Tägerwilen,3231,2011-01-01,NA,4696,Tägerwilen
4864,Steckborn,3219,2011-01-01,NA,4864,Steckborn
4606,Stettfurt,3207,2011-01-01,NA,4606,Stettfurt
4451,Uttwil,3196,2011-01-01,NA,4451,Uttwil
4641,Altnau,3221,2011-01-01,NA,4641,Altnau
4801,Berlingen,3211,2011-01-01,NA,4801,Berlingen
4656,Güttingen,3225,2011-01-01,NA,4656,Güttingen
4651,Gottlieben,3224,2011-01-01,NA,4651,Gottlieben
4411,Egnach,3188,2011-01-01,NA,4411,Egnach
4406,Dozwil,3187,2011-01-01,NA,4406,Dozwil
4421,Horn,3190,2011-01-01,NA,4421,Horn
4806,Eschenz,3212,2011-01-01,NA,4806,Eschenz
4416,Hefenhofen,3189,2011-01-01,NA,4416,Hefenhofen
4746,Münchwilen (TG),3242,2011-01-01,NA,4746,Münchwilen (TG)
4671,Kreuzlingen,3227,2011-01-01,NA,4671,Kreuzlingen
4426,Kesswil,3191,2011-01-01,NA,4426,Kesswil
4591,Matzingen,3205,2011-01-01,NA,4591,Matzingen
4436,Romanshorn,3193,2011-01-01,NA,4436,Romanshorn
4431,Roggwil (TG),3192,2011-01-01,NA,4431,Roggwil (TG)
4441,Salmsach,3194,2011-01-01,NA,4441,Salmsach
4846,Raperswilen,3233,2011-01-01,NA,4846,Raperswilen
4756,Schönholzerswilen,3256,2011-01-01,NA,4756,Schönholzerswilen
4831,Müllheim,3217,2011-01-01,NA,4831,Müllheim
4446,Sommeri,3195,2011-01-01,NA,4446,Sommeri
4791,Wuppenau,3257,2011-01-01,NA,4791,Wuppenau
4726,Fischingen,3240,2011-01-01,NA,4726,Fischingen
4941,Märstetten,3263,2011-01-01,NA,4941,Märstetten
4646,Ermatingen,3223,2011-01-01,NA,4646,Ermatingen
4851,Salenstein,3234,2011-01-01,NA,4851,Salenstein
4561,Felben-Wellhausen,3201,2011-01-01,NA,4561,Felben-Wellhausen
4826,Mammern,3216,2011-01-01,NA,4826,Mammern
4643,Bottighofen,3222,2011-01-01,NA,4643,Bottighofen
